Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/books,51,0,23,364.86101233315947,9.902541991323233,3417.6677499781363,69748.11764705883,0.8655623181064581,0.0,23,24,27,27,2700,2800,3100,3400,3400,3400,3400
GET,GET /api/books/book-id/:id,25,0,410.0,300.6937449623365,10.618208005325869,715.2979160018731,2158.04,0.424295253973754,0.0,410,420,430,450,460,710,720,720,720,720,720
,Aggregated,76,0,23,343.7533585927572,9.902541991323233,3417.6677499781363,47514.53947368421,1.2898575720802121,0.0,24,29,410,420,710,2800,3100,3400,3400,3400,3400
