Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1747044940,10,GET,GET /api/books/book-id/:id,0.375000,0.000000,430,710,710,720,720,720,720,720,720,720,720,5,0,430.0,540.7337666023523,418.7545409949962,715.2979160018731,2052.0
1747044940,10,,Aggregated,1.375000,0.000000,720,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,15,0,710.0,1364.8469695976626,13.936709001427516,3417.6677499781363,47173.4
1747044941,10,GET,GET /api/books,1.000000,0.000000,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,3400,11,0,2700.0,1616.9378449055578,13.936709001427516,3417.6677499781363,69497.54545454546
1747044941,10,GET,GET /api/books/book-id/:id,0.375000,0.000000,430,430,710,710,720,720,720,720,720,720,720,7,0,430.0,445.918833288098,12.558250018628314,715.2979160018731,2114.8571428571427
1747044941,10,,Aggregated,1.375000,0.000000,430,2700,2800,2800,3100,3400,3400,3400,3400,3400,3400,18,0,430.0,1161.541562609879,12.558250018628314,3417.6677499781363,43293.166666666664
1747044942,10,GET,GET /api/books,1.000000,0.000000,2700,2700,3100,3100,3400,3400,3400,3400,3400,3400,3400,12,0,39,1484.4232432466622,13.936709001427516,3417.6677499781363,69634.5
1747044942,10,GET,GET /api/books/book-id/:id,0.333333,0.000000,430,430,710,710,720,720,720,720,720,720,720,7,0,430.0,445.918833288098,12.558250018628314,715.2979160018731,2114.8571428571427
1747044942,10,,Aggregated,1.333333,0.000000,420,430,2700,2700,3100,3400,3400,3400,3400,3400,3400,19,0,430.0,1101.8163553671911,12.558250018628314,3417.6677499781363,44758.84210526316
1747044943,10,GET,GET /api/books,1.000000,0.000000,2700,2700,3100,3100,3400,3400,3400,3400,3400,3400,3400,12,0,39,1484.4232432466622,13.936709001427516,3417.6677499781363,69634.5
1747044943,10,GET,GET /api/books/book-id/:id,0.333333,0.000000,430,430,710,710,720,720,720,720,720,720,720,7,0,430.0,445.918833288098,12.558250018628314,715.2979160018731,2114.8571428571427
1747044943,10,,Aggregated,1.333333,0.000000,420,430,2700,2700,3100,3400,3400,3400,3400,3400,3400,19,0,430.0,1101.8163553671911,12.558250018628314,3417.6677499781363,44758.84210526316
1747044944,10,GET,GET /api/books,1.000000,0.000000,33,2700,2700,3100,3400,3400,3400,3400,3400,3400,3400,13,0,39,1372.1593014578013,13.936709001427516,3417.6677499781363,69750.38461538461
1747044944,10,GET,GET /api/books/book-id/:id,0.700000,0.000000,420,430,430,430,430,430,430,430,430,430,430,7,0,430.0,445.918833288098,12.558250018628314,715.2979160018731,2114.8571428571427
1747044944,10,,Aggregated,1.700000,0.000000,420,430,2700,2700,3100,3400,3400,3400,3400,3400,3400,20,0,420.0,1047.9751375984051,12.558250018628314,3417.6677499781363,46077.95
1747044945,10,GET,GET /api/books,1.000000,0.000000,25,25,27,27,33,33,33,33,33,33,33,14,0,33,1275.8598870672618,13.936709001427516,3417.6677499781363,69563.35714285714
1747044945,10,GET,GET /api/books/book-id/:id,0.500000,0.000000,420,430,430,430,430,430,430,430,430,430,430,7,0,430.0,445.918833288098,12.558250018628314,715.2979160018731,2114.8571428571427
1747044945,10,,Aggregated,1.500000,0.000000,27,410,420,420,430,430,430,430,430,430,430,21,0,420.0,999.2128691408739,12.558250018628314,3417.6677499781363,47080.52380952381
1747044946,10,GET,GET /api/books,0.800000,0.000000,25,25,27,27,33,33,33,33,33,33,33,14,0,33,1275.8598870672618,13.936709001427516,3417.6677499781363,69563.35714285714
1747044946,10,GET,GET /api/books/book-id/:id,0.500000,0.000000,430,430,430,430,440,440,440,440,440,440,440,8,0,430.0,444.65917700290447,12.558250018628314,715.2979160018731,2081.75
1747044946,10,,Aggregated,1.300000,0.000000,33,410,430,430,430,440,440,440,440,440,440,22,0,420.0,973.6050834074955,12.558250018628314,3417.6677499781363,45024.59090909091
1747044947,10,GET,GET /api/books,0.600000,0.000000,24,25,27,27,33,33,33,33,33,33,33,15,0,33,1192.3521001299378,13.936709001427516,3417.6677499781363,69643.86666666667
1747044947,10,GET,GET /api/books/book-id/:id,0.500000,0.000000,420,430,430,430,440,440,440,440,440,440,440,9,0,430.0,397.3380786709539,12.558250018628314,715.2979160018731,2131.6666666666665
1747044947,10,,Aggregated,1.100000,0.000000,25,33,410,420,430,440,440,440,440,440,440,24,0,410.0,894.2218420828189,12.558250018628314,3417.6677499781363,44326.791666666664
1747044948,10,GET,GET /api/books,0.600000,0.000000,25,25,27,27,33,33,33,33,33,33,33,15,0,33,1192.3521001299378,13.936709001427516,3417.6677499781363,69643.86666666667
1747044948,10,GET,GET /api/books/book-id/:id,0.500000,0.000000,420,420,430,430,440,440,440,440,440,440,440,9,0,430.0,397.3380786709539,12.558250018628314,715.2979160018731,2131.6666666666665
1747044948,10,,Aggregated,1.100000,0.000000,27,33,420,420,430,440,440,440,440,440,440,24,0,410.0,894.2218420828189,12.558250018628314,3417.6677499781363,44326.791666666664
1747044949,10,GET,GET /api/books,0.600000,0.000000,24,25,25,27,27,27,27,27,27,27,27,15,0,33,1192.3521001299378,13.936709001427516,3417.6677499781363,69643.86666666667
1747044949,10,GET,GET /api/books/book-id/:id,0.600000,0.000000,19,410,420,420,440,440,440,440,440,440,440,11,0,420.0,327.41800373134373,10.618208005325869,715.2979160018731,2160.6363636363635
1747044949,10,,Aggregated,1.200000,0.000000,24,25,410,410,420,440,440,440,440,440,440,26,0,39,826.4184439613018,10.618208005325869,3417.6677499781363,41093.269230769234
1747044950,10,GET,GET /api/books,0.600000,0.000000,25,25,27,27,27,27,27,27,27,27,27,15,0,33,1192.3521001299378,13.936709001427516,3417.6677499781363,69643.86666666667
1747044950,10,GET,GET /api/books/book-id/:id,0.600000,0.000000,19,410,420,420,440,440,440,440,440,440,440,11,0,420.0,327.41800373134373,10.618208005325869,715.2979160018731,2160.6363636363635
1747044950,10,,Aggregated,1.200000,0.000000,24,25,27,27,440,440,440,440,440,440,440,26,0,39,826.4184439613018,10.618208005325869,3417.6677499781363,41093.269230769234
1747044951,10,GET,GET /api/books,0.700000,0.000000,25,27,27,27,27,27,27,27,27,27,27,16,0,27,1119.514627747776,13.936709001427516,3417.6677499781363,69486.875
1747044951,10,GET,GET /api/books/book-id/:id,0.600000,0.000000,410,420,440,450,450,450,450,450,450,450,450,13,0,430.0,346.48863784968853,10.618208005325869,715.2979160018731,2153.6923076923076
1747044951,10,,Aggregated,1.300000,0.000000,25,27,440,440,450,450,450,450,450,450,450,29,0,410.0,772.9857357244955,10.618208005325869,3417.6677499781363,39303.03448275862
1747044952,10,GET,GET /api/books,0.600000,0.000000,25,25,27,27,27,27,27,27,27,27,27,16,0,27,1119.514627747776,13.936709001427516,3417.6677499781363,69486.875
1747044952,10,GET,GET /api/books/book-id/:id,0.800000,0.000000,410,440,450,450,450,450,450,450,450,450,450,15,0,420.0,355.3074916708283,10.618208005325869,715.2979160018731,2153.3333333333335
1747044952,10,,Aggregated,1.400000,0.000000,27,410,440,440,450,450,450,450,450,450,450,31,0,410.0,749.7369812589304,10.618208005325869,3417.6677499781363,36906.12903225807
1747044953,10,GET,GET /api/books,0.600000,0.000000,24,24,27,27,27,27,27,27,27,27,27,16,0,27,1119.514627747776,13.936709001427516,3417.6677499781363,69486.875
